File Name,Labels
fmfh2cd2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ab2,"['correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bk2,"['correct', 'incorrect', 'correct', 'correct', 'correct', 'stutter', 'correct']"
fmfh2bt2,"['correct', 'stutter', 'correct', 'correct', 'correct', 'correct']"
fmfh2bn2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2cf2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bf2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bp1,"['correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2cn2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2cm2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ae1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2af2,"['correct', 'correct', 'correct', 'skip', 'correct', 'stutter']"
fmfh2aa2,"['correct', 'incorrect', 'correct', 'correct', 'correct', 'correct']"
fmfh2bm2,"['correct', 'stutter', 'stutter', 'incorrect', 'correct', 'correct', 'correct', 'stutter']"
fmfh2cq2,"['correct', 'correct', 'correct', 'correct', 'skip', 'repeat', 'correct', 'correct', 'correct', 'correct']"
fmfh2ah2,"['correct', 'correct', 'stutter', 'correct', 'stutter']"
fmfh2bg2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2cp2,"['correct', 'skip', 'stutter', 'correct', 'stutter', 'correct', 'correct']"
fmfh2cr2,"['correct', 'correct', 'stutter', 'repeat', 'stutter', 'correct', 'correct', 'correct', 'correct']"
fmfh2aw2,"['correct', 'correct', 'correct', 'correct']"
fmfh2ai2,"['stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bb2,"['correct', 'correct', 'correct', 'correct', 'incorrect', 'correct', 'correct', 'correct', 'correct']"
fmfh2bs2,"['correct', 'correct', 'correct', 'correct', 'correct', 'repeat', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bd2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2am2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bw2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2co2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct']"
fmfh2az2,"['correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2cj2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct']"
fmfh2ap2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bi1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ag2,"['correct', 'correct', 'stutter']"
fmfh2ak1,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2at2,"['correct', 'correct', 'correct', 'correct']"
fmfh2ch2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ay2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'repeat', 'correct']"
fmfh2cg2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2cb2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bq2,"['incorrect', 'correct', 'correct', 'correct']"
fmfh2au2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2aj2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bu2,"['correct', 'correct', 'stutter', 'correct', 'correct']"
fmfh2br2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2an2,"['correct', 'correct', 'correct', 'correct', 'correct', 'incorrect', 'correct']"
fmfh2ck2,"['correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2aq2,"['stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ax2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ad2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ca2,"['correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter']"
fmfh2bx2,"['correct', 'correct', 'correct']"
fmfh2av2,"['correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bv1,"['correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2be2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2cl2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ao2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bc2,"['correct', 'stutter', 'correct', 'correct', 'correct']"
fmfh2bo2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bl2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ci2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ba2,"['correct', 'correct', 'correct', 'stutter', 'correct', 'correct']"
fmfh2bj2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2bh2,"['correct', 'correct', 'correct', 'correct']"
fmfh2ar2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'stutter', 'correct', 'correct', 'correct', 'correct']"
fmfh2by2,"['correct', 'correct', 'correct']"
fmfh2al2,"['correct', 'correct', 'correct', 'repeat', 'correct']"
fmfh2bz2,"['correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct', 'correct']"
fmfh2ac2,"['incorrect', 'correct', 'correct', 'correct']"
